                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.43412,                0.61417,                 1.0437,                0.86605,                0.94458,                0.94234,                0.90038,                0.37119,                0.28783,                0.97057,              0.0087328,              0.0087328,              0.0087328
                     67,                0.43005,                0.62175,                 1.0357,                0.87539,                0.93409,                0.95683,                0.91593,                0.37081,                0.26988,                 0.9757,               0.008713,               0.008713,               0.008713
                     68,                0.43643,                0.62463,                 1.0398,                 0.8603,                0.95691,                0.95021,                0.91345,                0.36114,                0.27833,                0.96816,              0.0086932,              0.0086932,              0.0086932
                     69,                0.43279,                0.61893,                 1.0389,                0.85292,                0.95791,                0.94297,                0.90025,                0.36303,                0.28636,                0.97069,              0.0086734,              0.0086734,              0.0086734
                     70,                0.42979,                0.61013,                 1.0392,                0.83687,                0.95094,                0.94925,                0.90937,                0.36693,                0.28219,                 0.9706,              0.0086536,              0.0086536,              0.0086536
                     71,                0.41648,                0.59758,                 1.0327,                0.84312,                0.96185,                0.94561,                0.90343,                0.36242,                0.27698,                0.96969,              0.0086338,              0.0086338,              0.0086338
                     72,                0.42637,                0.59801,                 1.0327,                0.84824,                0.96437,                0.95756,                 0.9147,                0.36874,                0.26906,                0.98136,               0.008614,               0.008614,               0.008614
                     73,                0.41836,                0.59703,                 1.0336,                 0.8567,                0.93026,                0.93996,                0.90197,                0.35514,                 0.2766,                0.96366,              0.0085942,              0.0085942,              0.0085942
                     74,                0.42221,                0.59677,                  1.035,                0.87573,                 0.9434,                0.94593,                0.90585,                0.36106,                0.26834,                0.97006,              0.0085744,              0.0085744,              0.0085744
                     75,                0.42095,                 0.6051,                 1.0341,                 0.8534,                 0.9624,                0.94368,                0.90363,                0.36348,                0.27464,                0.97588,              0.0085546,              0.0085546,              0.0085546
                     76,                0.42191,                0.60317,                 1.0362,                0.86726,                0.94858,                 0.9409,                0.90117,                0.36327,                0.28517,                0.96863,              0.0085348,              0.0085348,              0.0085348
                     77,                0.41762,                0.60143,                 1.0305,                0.86307,                0.95141,                0.94449,                0.90874,                0.34338,                0.26367,                0.94765,               0.008515,               0.008515,               0.008515
                     78,                0.41771,                0.60423,                 1.0301,                0.86524,                0.94839,                0.94796,                0.90992,                0.35236,                0.26322,                0.95907,              0.0084952,              0.0084952,              0.0084952
                     79,                0.41778,                0.58481,                  1.026,                0.87966,                0.94161,                0.94798,                0.90849,                0.35925,                0.26247,                0.96527,              0.0084754,              0.0084754,              0.0084754
                     80,                0.41615,                0.58057,                 1.0296,                0.85197,                0.98172,                0.95671,                0.92294,                0.35538,                0.26112,                0.96224,              0.0084556,              0.0084556,              0.0084556
                     81,                0.40547,                0.58017,                 1.0225,                0.87914,                0.93095,                0.94213,                0.90466,                0.35216,                0.26327,                 0.9558,              0.0084358,              0.0084358,              0.0084358
                     82,                0.41656,                0.58328,                 1.0302,                0.83967,                0.96871,                0.94784,                0.91379,                0.34666,                0.25543,                0.95191,               0.008416,               0.008416,               0.008416
                     83,                0.41358,                0.58198,                 1.0291,                  0.846,                0.96174,                0.94583,                0.90838,                0.35095,                0.25806,                0.95388,              0.0083962,              0.0083962,              0.0083962
                     84,                0.40922,                0.57284,                 1.0268,                0.85646,                0.95315,                0.94478,                0.90927,                0.34506,                0.25711,                0.94796,              0.0083764,              0.0083764,              0.0083764
                     85,                0.40996,                 0.5736,                 1.0264,                0.85762,                0.96671,                0.94363,                 0.9066,                0.33969,                0.25743,                0.94136,              0.0083566,              0.0083566,              0.0083566
                     86,                0.40236,                0.56163,                 1.0179,                0.86823,                0.96323,                0.95231,                0.91728,                0.33971,                0.25018,                0.94157,              0.0083368,              0.0083368,              0.0083368
                     87,                0.40835,                0.56912,                  1.023,                0.85048,                0.97074,                0.95002,                0.91389,                0.34441,                0.25259,                0.95064,               0.008317,               0.008317,               0.008317
                     88,                0.40445,                0.55495,                 1.0232,                0.85218,                0.96424,                0.94716,                0.91416,                0.33893,                0.24571,                0.94471,              0.0082972,              0.0082972,              0.0082972
                     89,                0.40403,                0.57809,                 1.0251,                0.83985,                0.97201,                0.94638,                0.90982,                0.34478,                0.25851,                 0.9513,              0.0082774,              0.0082774,              0.0082774
                     90,                0.40448,                0.56487,                 1.0233,                0.83927,                0.96946,                0.94799,                0.91353,                0.34244,                0.25555,                0.94892,              0.0082576,              0.0082576,              0.0082576
                     91,                0.40192,                0.56375,                 1.0203,                 0.8525,                0.97727,                 0.9463,                0.90976,                0.34616,                0.24958,                0.95286,              0.0082378,              0.0082378,              0.0082378
                     92,                0.40007,                0.56979,                 1.0212,                0.87532,                 0.9558,                0.94566,                0.91214,                 0.3426,                0.25785,                0.94839,               0.008218,               0.008218,               0.008218
                     93,                0.39915,                0.56335,                 1.0213,                0.88492,                0.95456,                0.95008,                0.91567,                0.33682,                0.24662,                  0.941,              0.0081982,              0.0081982,              0.0081982
                     94,                0.39928,                0.56187,                 1.0199,                0.86759,                0.95832,                 0.9514,                0.91503,                0.33755,                0.25386,                0.94444,              0.0081784,              0.0081784,              0.0081784
                     95,                0.39448,                0.55646,                 1.0166,                0.87224,                0.94038,                0.95006,                0.91476,                0.33724,                0.25054,                0.94044,              0.0081586,              0.0081586,              0.0081586
                     96,                 0.3973,                0.56083,                 1.0219,                0.86699,                0.96278,                0.95512,                0.92433,                0.33613,                0.25078,                0.94238,              0.0081388,              0.0081388,              0.0081388
                     97,                0.38817,                0.56215,                 1.0191,                0.87541,                 0.9288,                0.94581,                0.91242,                0.33511,                0.25503,                0.94067,               0.008119,               0.008119,               0.008119
                     98,                0.39317,                0.53934,                 1.0163,                 0.8535,                0.95399,                0.94273,                0.91075,                0.33031,                0.25072,                0.93409,              0.0080992,              0.0080992,              0.0080992
                     99,                0.39034,                0.54647,                 1.0169,                0.86264,                0.95166,                0.94765,                 0.9143,                0.33113,                0.25157,                0.93512,              0.0080794,              0.0080794,              0.0080794
                    100,                0.39198,                0.55935,                 1.0167,                0.86099,                0.96421,                0.94863,                0.91654,                0.33409,                0.25138,                0.93867,              0.0080596,              0.0080596,              0.0080596
                    101,                0.38567,                0.54012,                 1.0099,                0.86376,                0.95605,                0.95172,                0.92026,                0.33089,                0.24426,                0.93423,              0.0080398,              0.0080398,              0.0080398
                    102,                0.38964,                0.54602,                 1.0106,                0.86777,                0.95074,                0.94889,                0.91759,                0.33089,                0.24791,                0.93269,                0.00802,                0.00802,                0.00802
                    103,                0.39051,                0.54707,                 1.0145,                0.87882,                0.94335,                0.95818,                0.92524,                0.33181,                0.24104,                0.93676,              0.0080002,              0.0080002,              0.0080002
                    104,                0.38419,                0.54314,                 1.0118,                0.87265,                0.95753,                0.95701,                0.92589,                0.32612,                0.23248,                0.92818,              0.0079804,              0.0079804,              0.0079804
                    105,                0.38055,                0.54048,                 1.0111,                 0.8696,                0.95752,                0.95624,                0.92563,                0.32327,                0.23598,                0.92982,              0.0079606,              0.0079606,              0.0079606
